angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.02,0.07,,,"[678, 347, 15, 19]","[586, 351, 12, 15]",,,0.0,0.0,,,0.25,0.2,,,0.39,0.12,,,0.23,0.26,,,0.08,0.31,,,0.02,0.03,,
0.03,0.1,,,"[686, 341, 20, 26]","[573, 349, 16, 19]",,,0.0,0.0,,,0.33,0.08,,,0.32,0.06,,,0.11,0.32,,,0.19,0.44,,,0.01,0.01,,
0.05,0.16,,,"[696, 340, 24, 28]","[561, 347, 18, 23]",,,0.0,0.0,,,0.19,0.02,,,0.41,0.14,,,0.19,0.54,,,0.09,0.13,,,0.06,0.01,,
0.12,0.21,,,"[702, 336, 27, 35]","[548, 344, 20, 27]",,,0.0,0.0,,,0.15,0.01,,,0.31,0.09,,,0.32,0.57,,,0.08,0.12,,,0.02,0.01,,
0.05,0.19,,,"[713, 333, 30, 37]","[535, 343, 24, 30]",,,0.0,0.0,,,0.16,0.02,,,0.24,0.02,,,0.46,0.56,,,0.06,0.21,,,0.03,0.0,,
0.05,0.15,,,"[721, 330, 35, 42]","[523, 341, 26, 34]",,,0.0,0.0,,,0.09,0.01,,,0.31,0.04,,,0.47,0.74,,,0.05,0.06,,,0.02,0.0,,
0.03,0.12,,,"[730, 326, 39, 48]","[510, 338, 30, 39]",,,0.0,0.0,,,0.02,0.01,,,0.19,0.04,,,0.71,0.77,,,0.03,0.06,,,0.02,0.0,,
0.09,0.03,,,"[737, 322, 44, 54]","[498, 337, 32, 40]",,,0.0,0.0,,,0.1,0.01,,,0.18,0.1,,,0.45,0.79,,,0.19,0.07,,,0.01,0.0,,
0.06,0.04,,,"[748, 319, 45, 57]","[484, 332, 37, 46]",,,0.0,0.0,,,0.04,0.0,,,0.19,0.46,,,0.56,0.47,,,0.15,0.03,,,0.01,0.0,,
0.08,0.02,,,"[756, 316, 50, 63]","[472, 331, 38, 49]",,,0.0,0.0,,,0.04,0.01,,,0.13,0.4,,,0.57,0.52,,,0.18,0.05,,,0.0,0.0,,
0.06,0.01,,,"[766, 313, 52, 65]","[459, 330, 41, 51]",,,0.0,0.0,,,0.09,0.01,,,0.11,0.65,,,0.57,0.3,,,0.17,0.03,,,0.0,0.0,,
0.08,0.0,,,"[774, 310, 56, 71]","[446, 328, 44, 55]",,,0.0,0.0,,,0.06,0.0,,,0.14,0.94,,,0.44,0.06,,,0.28,0.0,,,0.0,0.0,,
0.03,0.01,,,"[782, 307, 61, 74]","[432, 324, 50, 62]",,,0.0,0.0,,,0.08,0.0,,,0.12,0.54,,,0.59,0.43,,,0.18,0.02,,,0.0,0.0,,
0.04,0.0,,,"[792, 303, 63, 81]","[420, 325, 50, 62]",,,0.0,0.0,,,0.07,0.01,,,0.17,0.69,,,0.54,0.28,,,0.18,0.02,,,0.0,0.0,,
0.03,0.0,,,"[800, 301, 67, 83]","[406, 317, 57, 71]",,,0.0,0.0,,,0.08,0.0,,,0.06,0.78,,,0.63,0.2,,,0.19,0.01,,,0.0,0.0,,
0.04,0.01,,,"[809, 297, 71, 89]","[395, 320, 58, 70]",,,0.0,0.0,,,0.07,0.03,,,0.1,0.45,,,0.6,0.46,,,0.19,0.05,,,0.01,0.0,,
0.07,0.0,,,"[821, 293, 74, 93]","[383, 315, 59, 75]",,,0.0,0.0,,,0.06,0.01,,,0.05,0.6,,,0.56,0.36,,,0.25,0.02,,,0.01,0.0,,
0.08,0.0,,,"[830, 288, 79, 98]","[370, 315, 61, 75]",,,0.0,0.0,,,0.07,0.01,,,0.1,0.63,,,0.53,0.32,,,0.21,0.03,,,0.01,0.0,,
0.08,0.0,,,"[836, 282, 84, 109]","[357, 311, 65, 81]",,,0.0,0.0,,,0.08,0.0,,,0.07,0.82,,,0.52,0.16,,,0.25,0.02,,,0.01,0.0,,
0.07,0.0,,,"[848, 280, 87, 111]","[343, 309, 70, 85]",,,0.0,0.0,,,0.06,0.0,,,0.07,0.88,,,0.54,0.11,,,0.25,0.0,,,0.01,0.0,,
0.08,0.0,,,"[858, 279, 88, 110]","[330, 308, 69, 85]",,,0.0,0.0,,,0.1,0.0,,,0.08,0.84,,,0.56,0.14,,,0.17,0.01,,,0.01,0.0,,
0.05,0.0,,,"[863, 271, 98, 123]","[320, 305, 73, 90]",,,0.0,0.0,,,0.08,0.0,,,0.13,0.94,,,0.54,0.06,,,0.19,0.0,,,0.0,0.0,,
0.08,0.0,,,"[874, 271, 97, 120]","[307, 302, 76, 96]",,,0.0,0.0,,,0.07,0.0,,,0.13,0.95,,,0.52,0.05,,,0.2,0.0,,,0.0,0.0,,
0.06,0.0,,,"[883, 266, 104, 131]","[293, 298, 81, 102]",,,0.0,0.0,,,0.08,0.0,,,0.15,0.92,,,0.53,0.07,,,0.18,0.01,,,0.0,0.0,,
0.05,0.0,,,"[891, 262, 107, 135]","[281, 298, 83, 102]",,,0.0,0.0,,,0.07,0.0,,,0.08,0.94,,,0.65,0.05,,,0.15,0.0,,,0.0,0.0,,
0.07,0.0,0.05,,"[902, 260, 109, 137]","[267, 295, 88, 107]","[1210, 131, 10, 13]",,0.0,0.0,0.01,,0.06,0.01,0.04,,0.13,0.89,0.07,,0.59,0.1,0.23,,0.15,0.01,0.59,,0.01,0.0,0.02,
0.07,0.0,,,"[910, 255, 111, 141]","[255, 292, 90, 111]",,,0.0,0.0,,,0.05,0.01,,,0.11,0.63,,,0.54,0.32,,,0.22,0.03,,,0.01,0.0,,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.13,0.0,0.18,,"[911, 257, 111, 139]","[254, 293, 90, 109]","[1229, 122, 12, 15]",,0.0,0.0,0.0,,0.06,0.02,0.07,,0.1,0.38,0.03,,0.45,0.55,0.26,,0.25,0.04,0.44,,0.01,0.0,0.01,
0.05,0.0,,,"[892, 246, 132, 161]","[262, 296, 84, 104]",,,0.0,0.0,,,0.04,0.0,,,0.3,0.98,,,0.42,0.02,,,0.19,0.0,,,0.01,0.0,,
0.04,0.0,,,"[893, 247, 131, 160]","[262, 296, 84, 104]",,,0.0,0.0,,,0.05,0.0,,,0.31,0.98,,,0.37,0.02,,,0.22,0.0,,,0.01,0.0,,
0.03,0.0,,,"[894, 246, 131, 159]","[264, 294, 82, 104]",,,0.0,0.0,,,0.02,0.0,,,0.33,0.98,,,0.47,0.02,,,0.14,0.0,,,0.0,0.0,,
0.04,0.0,,,"[893, 245, 131, 160]","[265, 293, 84, 106]",,,0.0,0.0,,,0.02,0.0,,,0.29,0.94,,,0.51,0.06,,,0.13,0.0,,,0.01,0.0,,
0.04,0.0,,,"[893, 245, 131, 160]","[265, 293, 84, 106]",,,0.0,0.0,,,0.02,0.0,,,0.29,0.94,,,0.51,0.06,,,0.13,0.0,,,0.01,0.0,,
